iso_code,location,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,Common_Symtoms
AFG,Afghanistan,31/12/2019,0,0,0,0,None
AFG,Afghanistan,01/01/2020,0,0,0,0,None
AFG,Afghanistan,02/01/2020,0,0,0,0,None
AFG,Afghanistan,03/01/2020,0,0,0,0,None
AFG,Afghanistan,04/01/2020,0,0,0,0,None
AFG,Afghanistan,05/01/2020,0,0,0,0,None
AFG,Afghanistan,06/01/2020,0,0,0,0,None
AFG,Afghanistan,07/01/2020,0,0,0,0,None
AFG,Afghanistan,08/01/2020,0,0,0,0,None
AFG,Afghanistan,09/01/2020,0,0,0,0,None
AFG,Afghanistan,10/01/2020,0,0,0,0,None
AFG,Afghanistan,11/01/2020,0,0,0,0,None
AFG,Afghanistan,12/01/2020,0,0,0,0,None
AFG,Afghanistan,13/01/2020,0,0,0,0,None
AFG,Afghanistan,14/01/2020,0,0,0,0,None
AFG,Afghanistan,15/01/2020,0,0,0,0,None
AFG,Afghanistan,16/01/2020,0,0,0,0,None
AFG,Afghanistan,17/01/2020,0,0,0,0,None
AFG,Afghanistan,18/01/2020,0,0,0,0,None
AFG,Afghanistan,19/01/2020,0,0,0,0,None
AFG,Afghanistan,20/01/2020,0,0,0,0,None
AFG,Afghanistan,21/01/2020,0,0,0,0,None
AFG,Afghanistan,22/01/2020,0,0,0,0,None
AFG,Afghanistan,23/01/2020,0,0,0,0,None
AFG,Afghanistan,24/01/2020,0,0,0,0,None
AFG,Afghanistan,25/01/2020,0,0,0,0,None
AFG,Afghanistan,26/01/2020,0,0,0,0,None
AFG,Afghanistan,27/01/2020,0,0,0,0,None
AFG,Afghanistan,28/01/2020,0,0,0,0,None
AFG,Afghanistan,29/01/2020,0,0,0,0,None
AFG,Afghanistan,30/01/2020,0,0,0,0,None
AFG,Afghanistan,31/01/2020,0,0,0,0,None
AFG,Afghanistan,01/02/2020,0,0,0,0,None
AFG,Afghanistan,02/02/2020,0,0,0,0,None
AFG,Afghanistan,03/02/2020,0,0,0,0,None
AFG,Afghanistan,04/02/2020,0,0,0,0,None
AFG,Afghanistan,05/02/2020,0,0,0,0,None
AFG,Afghanistan,06/02/2020,0,0,0,0,None
AFG,Afghanistan,07/02/2020,0,0,0,0,None
